artist_ids,popularity
4NJhFmfw43RLBLjQvxDuRS,72
5QNm7E7RU2m64l6Gliu8Oy,72
2DlGxzQSjYe5N6G9nkYghR,72
3CJKkU0XuElRT1z8rEtIYg,72
7An4yvF7hDYDolN4m5zKBp,72
4J13m9IZh03PEhoxAxRhXO,72
69UypehHabb68utzfjAVlV,72
6CXEwIaXYfVJ84biCxqc9k,72
7rkW85dBwwrJtlHRDkJDAC,72
0KPX4Ucy9dk82uj4GpKesn,72
4QFG9KrGWEbr6hNA58CAqE,72
20qISvAhX20dpIbOOzGK3q,71
56ZTgzPBDge0OvCGgMO3OY,71
0u6GtibW46tFX7koQ6uNJZ,71
4iJLPqClelZOBCBifm8Fzv,71
3AQRLZ9PuTAozP28Skbq8V,71
6w3SkAHYPsQ1bxV7VDlG5y,71
0PFtn5NtBbbUNbU9EAmIWF,71
3TOqt5oJwL9BE2NG9MEwDa,71
1hcdI2N1023RvSwLzTtdsp,71
5ZfBThYiIIhL7jHMG8gDB2,71
4U7lXyKdSf1JbM1aXvsodC,71
0LSPREIgGMZXCuKVel7LVD,71
4vhNDa5ycK0ST968ek7kRr,71
3FfvYsEGaIb52QPXhg4DcH,71
391oLRVmoTkumiN79HkTWu,71
0GOx72r5AAEKRGQFn3xqXK,71
4lDiJcOJ2GLCK6p9q5BgfK,71
47zz7sob9NUcODy0BTDvKx,71
22WZ7M8sxp5THdruNY3gXt,71
4KWTAlx2RvbpseOGMEmROg,71
4phGZZrJZRo4ElhRtViYdl,71
5e4Dhzv426EvQe3aDb64jL,71
56oDRnqbIiwx4mymNEv7dS,71
2kRfqPViCqYdSGhYSM9R0Q,71
4EPJlUEBy49EX1wuFOvtjK,71
59oA5WbbQvomJz2BuRG071,71
5UJ2sHO2ELrgW6aXeRLTQQ,71
7y97mc3bZRFXzT2szRM4L4,71
7y97mc3bZRFXzT2szRM4L4,71
5ndkK3dpZLKtBklKjxNQwT,71
1JbemQ1fPt2YmSLjAFhPBv,71
2P5sC9cVZDToPxyomzF1UH,71
1CoZyIx7UvdxT5c8UkMzHd,71
1YfEcTuGvBQ8xSD1f53UnK,71
1Db5GsIoVWYktPoD2nnPZZ,71
0VKh7CQDi9MkUvaBMoK1V0,71
0GF4shudTAFv8ak9eWdd4Y,71
0JjPiLQNgAFaEkwoy56B1C,71
3jOstUTkEu2JkjvRdBA5Gu,71
6DgP9otnZw5z6daOntINxp,71
3IJ21966TwNZI24MwZHMu4,71
6MDME20pz9RveH9rEXvrOM,71
5M52tdBnJaKSvOpJGz8mfZ,71
6kACVPfCOnqzgfEF5ryl0x,71
2p1fiYHYiXz9qi0JJyxBzN,71
3KV3p5EY4AvKxOlhGHORLg,71
2elBjNSdBE2Y3f0j1mjrql,71
0ONHkAv9pCAFxb0zJwDNTy,71
3hteYQFiMFbJY7wS0xDymP,71
49bzE5vRBRIota4qeHtQM8,71
7z5WFjZAIYejWy0NI5lv4T,71
0Y3agQaa6g2r0YmHPOO9rh,71
53A0W3U0s8diEn9RhXQhVz,71
1ThoqLcyIYvZn7iWbj8fsj,71
00me4Ke1LsvMxt5kydlMyU,71
3MKCzCnpzw3TjUYs2v7vDA,71
4MoAOfV4ROWofLG3a3hhBN,71
0cGUm45nv7Z6M6qdXYQGTX,71
0SwO7SWeDHJijQ3XNS7xEE,71
2ysnwxxNtSgbb9t1m2Ur4j,71
3Ri4H12KFyu98LMjSoij5V,71
59wfkuBoNyhDMQGCljbUbA,71
4NUePmzDvCYqilXBFa91Hg,71
5gCRApTajqwbnHHPbr2Fpi,71
3YCKuqpv9nCsIhJ2v8SMix,71
6TLwD7HPWuiOzvXEa3oCNe,71
1anyVhU62p31KFi8MEzkbf,71
3zmfs9cQwzJl575W1ZYXeT,71
6Ff53KvcvAj5U7Z1vojB5o,71
39yVoqm6sYFvvqF1RciUVf,71
78nr1pVnDR7qZH6QbVMYZf,71
085pc2PYOi8bGKj0PNjekA,71
19ra5tSw0tWufvUp8GotLo,71
